时间,通道 A
(us),(mV)

102.26839099,0.00000000
102.27359099,-0.00978474
102.27879099,-0.00978474
102.28399099,-0.01956947
102.28919099,-0.05870841
102.29439099,-0.00978474
102.29959099,0.00000000
102.30479099,0.04892368
102.30999099,0.00000000
102.31519099,-0.14677103
102.32039099,-0.06849315
102.32559099,-0.04892368
102.33079099,0.00000000
102.33599099,-0.05870841
102.34119099,-0.07827789
102.34639099,-0.00978474
102.35159099,-0.02935421
102.35679099,-0.01956947
102.36199099,-0.07827789
102.36719099,-0.05870841
102.37239098,0.03913894
102.37759098,0.01956947
102.38279098,-0.02935421
102.38799098,0.00000000
102.39319098,-0.14677103
102.39839098,-0.03913894
102.40359098,-0.06849315
102.40879098,-0.03913894
102.41399098,-0.08806262
102.41919098,-0.01956947
102.42439098,-0.16634050
102.42959098,0.03913894
102.43479098,0.01956947
102.43999098,0.06849315
102.44519098,-0.07827789
102.45039098,0.10763209
102.45559098,-0.01956947
102.46079098,-0.02935421
102.46599098,0.00000000
102.47119098,-0.00978474
102.47639098,-0.11741682
102.48159098,0.06849315
102.48679097,-0.08806262
102.49199097,-0.01956947
102.49719097,0.04892368
102.50239097,-0.07827789
102.50759097,0.05870841
102.51279097,-0.04892368
102.51799097,-0.03913894
102.52319097,-0.08806262
102.52839097,-0.05870841
102.53359097,-0.13698630
102.53879097,0.01956947
102.54399097,-0.00978474
102.54919097,-0.10763209
102.55439097,0.03913894
102.55959097,-0.03913894
102.56479097,-0.14677103
102.56999097,-0.12720156
102.57519097,-0.04892368
102.58039097,-0.10763209
102.58559097,0.01956947
102.59079097,0.00000000
102.59599097,0.06849315
102.60119096,-0.04892368
102.60639096,-0.08806262
102.61159096,0.07827789
102.61679096,0.00978474
102.62199096,-0.03913894
102.62719096,-0.04892368
102.63239096,-0.11741682
102.63759096,0.00978474
102.64279096,-0.16634050
102.64799096,-0.06849315
102.65319096,-0.03913894
102.65839096,-0.10763209
102.66359096,-0.01956947
102.66879096,-0.03913894
